age,gender,tenure_months,monthly_charges,total_charges,phone_service,paperless_billing,senior_citizen,charges_per_month,estimated_clv,total_services,internet_score,contract_stability,auto_payment,risk_score,charges_tenure_ratio,charges_per_service,total_charges_log,tenure_months_log,contract_type_month_to_month,contract_type_one_year,contract_type_two_year,payment_method_bank_transfer,payment_method_credit_card,payment_method_electronic_check,payment_method_mailed_check,internet_service_dsl,internet_service_fiber_optic,internet_service_no,multiple_lines_no,multiple_lines_no_phone_service,multiple_lines_yes,online_security_no,online_security_no_internet_service,online_security_yes,online_backup_no,online_backup_no_internet_service,online_backup_yes,device_protection_no,device_protection_no_internet_service,device_protection_yes,tech_support_no,tech_support_no_internet_service,tech_support_yes,streaming_tv_no,streaming_tv_no_internet_service,streaming_tv_yes,streaming_movies_no,streaming_movies_no_internet_service,streaming_movies_yes,age_group_under_25,age_group_25_34,age_group_35_44,age_group_45_54,age_group_55_64,age_group_over_65,loyalty_segment_new,loyalty_segment_growing,loyalty_segment_established,loyalty_segment_loyal,loyalty_segment_champion,risk_level_low,risk_level_medium,risk_level_high,risk_level_critical,churn
31.0,1,7,90.9708251953125,687.07,1,1,1,85.88375,764.154931640625,3,2,1,1,9,11.371353149414062,22.742706298828125,6.5338907,2.08,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,1
54.0,0,1,73.55538177490234,109.12,1,1,0,54.56,88.2664581298828,3,0,1,1,9,36.77769088745117,18.388845443725586,4.7015705,0.6934,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,1
28.0,0,16,74.65859985351562,1225.5,1,0,0,72.088234,1433.4451171875,3,3,1,1,7,4.391682344324448,18.664649963378906,7.11192,2.834,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1
22.0,1,1,49.02296829223633,49.02297,1,1,1,24.511484,58.82756195068359,3,3,2,1,7,24.511484146118164,12.255742073059082,3.9124823,0.6934,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1
49.0,0,36,59.11811447143555,1961.31,1,1,0,53.00838,2553.9025451660154,2,0,1,1,6,1.5977868776063662,19.706038157145183,7.5818777,3.611,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0
67.0,0,14,64.57334899902344,1024.93,1,1,0,68.32867,1084.8322631835938,1,2,1,1,6,4.304889933268229,32.28667449951172,6.933355,2.709,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,1
38.0,0,0,34.15614318847656,100.99,1,1,0,100.99,0.0,0,0,1,0,9,34.15614318847656,34.15614318847656,4.6248746,0.0,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1
20.0,1,24,55.00075149536133,981.405,1,1,0,39.256203,1584.021643066406,4,0,2,0,6,2.2000300598144533,11.000150299072265,6.8900037,3.219,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0
21.0,0,13,58.872371673583984,587.24,0,0,1,41.945713,918.4089981079102,0,2,3,1,4,4.205169405255999,58.872371673583984,6.377135,2.639,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0
42.0,1,40,46.95170593261719,1885.05,0,1,0,45.97683,2253.681884765625,0,3,3,1,4,1.1451635593321265,46.95170593261719,7.54224,3.713,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,0
